Date,Value
2020-07-30,327789.0
2020-07-29,346521.0
2020-07-28,354742.0
2020-07-27,326769.0
2020-07-26,298580.0
2020-07-25,293883.0
2020-07-24,369432.0
2020-07-23,336245.0
2020-07-22,364792.0
2020-07-21,312871.0
2020-07-20,309747.0
2020-07-19,277093.0
2020-07-18,311022.0
2020-07-17,293907.0
2020-07-16,345849.0
2020-07-15,316064.0
2020-07-14,359847.0
2020-07-13,310227.0
2020-07-12,282364.0
2020-07-11,306771.0
2020-07-10,345996.0
2020-07-09,362718.0
2020-07-08,347455.0
2020-07-07,345975.0
2020-07-06,338767.0
2020-07-05,274104.0
2020-07-04,288647.0
2020-07-03,331009.0
2020-07-02,339469.0
2020-07-01,382570.0
2020-06-30,299733.0
2020-06-29,315424.0
2020-06-28,264909.0
2020-06-27,275489.0
2020-06-26,330381.0
2020-06-25,312183.0
2020-06-24,312321.0
2020-06-23,355256.0
2020-06-22,301396.0
2020-06-21,259440.0
2020-06-20,284123.0
2020-06-19,344142.0
2020-06-18,283897.0
2020-06-17,333547.0
2020-06-16,340517.0
2020-06-15,294468.0
2020-06-14,275723.0
2020-06-13,280181.0
2020-06-12,318274.0
2020-06-11,332490.0
2020-06-10,325163.0
2020-06-09,327074.0
2020-06-08,317275.0
2020-06-07,252368.0
2020-06-06,284873.0
2020-06-05,327082.0
2020-06-04,318285.0
2020-06-03,314000.0
2020-06-02,304114.0
2020-06-01,308312.0
2020-05-31,258427.0
2020-05-30,286046.0
2020-05-29,280960.0
2020-05-28,299910.0
2020-05-27,292927.0
2020-05-26,295782.0
2020-05-25,265875.0
2020-05-24,214530.0
2020-05-23,269230.0
2020-05-22,278784.0
2020-05-21,298483.0
2020-05-20,280037.0
2020-05-19,274897.0
2020-05-18,273723.0
2020-05-17,236808.0
2020-05-16,296555.0
2020-05-15,310642.0
2020-05-14,268750.0
2020-05-13,296796.0
2020-05-12,345215.0
2020-05-11,305839.0
2020-05-10,286789.0
2020-05-09,312399.0
2020-05-08,323625.0
2020-05-07,341986.0
2020-05-06,333395.0
2020-05-05,329075.0
2020-05-04,326098.0
2020-05-03,281752.0
2020-05-02,286773.0
2020-05-01,340574.0
2020-04-30,321972.0
2020-04-29,331401.0
2020-04-28,323475.0
2020-04-27,311217.0
2020-04-26,252833.0
2020-04-25,280805.0
2020-04-24,320055.0
2020-04-23,329045.0
2020-04-22,278755.0
2020-04-21,310851.0
2020-04-20,310810.0
2020-04-19,251984.0
2020-04-18,289134.0
2020-04-17,284222.0
2020-04-16,322903.0
2020-04-15,310253.0
2020-04-14,299391.0
2020-04-13,288113.0
2020-04-12,228529.0
2020-04-11,247852.0
2020-04-10,288585.0
2020-04-09,286706.0
2020-04-08,286563.0
2020-04-07,312770.0
2020-04-06,280470.0
2020-04-05,240259.0
2020-04-04,253274.0
2020-04-03,278763.0
2020-04-02,299176.0
2020-04-01,281855.0
2020-03-31,290227.0
2020-03-30,276828.0
2020-03-29,232820.0
2020-03-28,240627.0
2020-03-27,276546.0
2020-03-26,292828.0
2020-03-25,218176.0
2020-03-24,278131.0
2020-03-23,259816.0
2020-03-22,209154.0
2020-03-21,245896.0
2020-03-20,284594.0
2020-03-19,265689.0
2020-03-18,231254.0
2020-03-17,278326.0
2020-03-16,270399.0
2020-03-15,223230.0
2020-03-14,279828.0
2020-03-13,276798.0
2020-03-12,349978.0
2020-03-11,287492.0
2020-03-10,329698.0
2020-03-09,348211.0
2020-03-08,302694.0
2020-03-07,313312.0
2020-03-06,338383.0
2020-03-05,349529.0
2020-03-04,358745.0
2020-03-03,342324.0
2020-03-02,342324.0
2020-03-01,342821.0
2020-02-29,342821.0
2020-02-28,368590.0
2020-02-27,338781.0
2020-02-26,329967.0
2020-02-25,334593.0
2020-02-24,328890.0
2020-02-23,285579.0
2020-02-22,304597.0
2020-02-21,338484.0
2020-02-20,316626.0
2020-02-19,334805.0
2020-02-18,331050.0
2020-02-17,341491.0
2020-02-16,292236.0
2020-02-15,322721.0
2020-02-14,326078.0
2020-02-13,340081.0
2020-02-12,344615.0
2020-02-11,365583.0
2020-02-10,298104.0
2020-02-09,317070.0
2020-02-08,318363.0
2020-02-07,334938.0
2020-02-06,315370.0
2020-02-05,315370.0
2020-02-04,368604.0
2020-02-03,331012.0
2020-02-02,290879.0
2020-02-01,303724.0
2020-01-31,334434.0
2020-01-30,332558.0
2020-01-29,340562.0
2020-01-28,340052.0
2020-01-27,279240.0
2020-01-26,261247.0
2020-01-25,285584.0
2020-01-24,313887.0
2020-01-23,329918.0
2020-01-22,328586.0
2020-01-21,315210.0
2020-01-20,313661.0
2020-01-19,283960.0
2020-01-18,287237.0
2020-01-17,323992.0
2020-01-16,325947.0
2020-01-15,332658.0
2020-01-14,346953.0
2020-01-13,291597.0
2020-01-12,283136.0
2020-01-11,309070.0
2020-01-10,330734.0
2020-01-09,322057.0
2020-01-08,318019.0
2020-01-07,344079.0
2020-01-06,299146.0
2020-01-05,287779.0
2020-01-04,287215.0
2020-01-03,316517.0
2020-01-02,295567.0
2020-01-01,251735.0
2019-12-31,293447.0
2019-12-30,324497.0
2019-12-29,279925.0
2019-12-28,298287.0
2019-12-27,322204.0
2019-12-26,296063.0
2019-12-25,244666.0
2019-12-24,290436.0
